0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
egg,fruit cocktail,drained,white sugar,allpurpose flour,baking soda, salt,white sugar, evaporated milk, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,egg,baking soda,vanilla extract,   can fruit cocktail, packed brown sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 vanilla flavored syrup,sponge cake,blueberries,strawberries,   container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 flaked coconut,allpurpose flour,baking soda,salt, ground cinnamon, ground nutmeg,white sugar, vegetable oil,eggs,vanilla extract,blueberries,bananas,  can pineapple,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,vanilla extract,eggs,milk,fresh lemon juice, unsweetened cocoa powder,hot water, allpurpose flour,baking soda,baking powder, salt, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,unsweetened cocoa powder, baking soda, salt, unsalted butter,softened, white sugar, packed brown sugar,eggs,vanilla extract, buttermilk, unsalted butter,softened,   package confectioners ' sugar,sifted,  squares unsweetened chocolate,melted,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
package Duncan Hines Moist Deluxe Fudge Marble Cake Mix,   package vanilla instant pudding and pie filling mix,eggs,water, vegetable oil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 semisweet chocolate chips,  packages cream cheese,softened, white sugar,heavy cream,   package chocolate cake mix, cold,brewed coffee, vegetable oil,eggs, pecans, heavy whipping cream, semisweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,coconut flour,cocoa powder, baking powder, almond milk,divided, vanilla extract,chocolatehazelnut spread  such as Nutella ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
heavy whipping cream,halfandhalf, white sugar, cake mix with candy bits  such as Pillsbury Funfetti ,or more to taste,vanilla extract,multicolored sprinkles,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,   package miniature marshmallows,bourbon,salt,cake mix with candy bits  such as Pillsbury Funfetti ,crispy rice cereal  such as Rice Krispies ,divided,fruitflavored breakfast cereal  such as Post Fruity Pebbles ,divided,pinch sea salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package cake mix with candy bits  such as Pillsbury Funfetti ,or more to taste, canola oil,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 warm water   degrees F degrees C ,white sugar, active dry yeast,allpurpose flour,water, butter,melted,salt, white sugar,vanilla extract, baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can peaches,drained, peach schnapps,white sugar, orange juice,   package yellow cake mix,   package instant vanilla pudding mix,eggs, vegetable oil,pecans, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can peaches,with juice,white sugar, peach schnapps, orange juice,   package yellow cake mix,  package instant vanilla pudding mix,eggs, vegetable oil, confectioners ' sugar, melted margarine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
graham cracker crumbs, butter,melted, white sugar,   squares semisweet chocolate,,heavy whipping cream,eggs, white sugar, allpurpose flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter or margarine,softened,white sugar,eggs,vanilla extract,allpurpose flour,baking powder, salt,fresh peaches,pitted and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raisins,water,butter, white sugar, packed brown sugar, allpurpose flour,salt,ground cinnamon,baking soda,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 semisweet chocolate chips,   can garbanzo beans,rinsed and drained,eggs, white sugar, baking powder,confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package instant pistachio pudding mix,eggs,vegetable oil,caffeinated citrusflavored soda,pecans  optional ,  package instant pistachio pudding mix, milk,frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sifted allpurpose flour, cream of tartar, baking powder,eggs,white sugar, lemon zest, salt,egg yolks,white sugar,lemon zest,lemons,juiced, butter, butter,sifted confectioners ' sugar,egg yolk,lemon juice,orange juice, lemon zest,orange zest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, cream of tartar, baking powder,egg yolks,white sugar,egg whites,lemon zest,lemon juice, salt,egg yolks, white sugar, lemon zest, lemon juice, butter, butter,softened,confectioners ' sugar,orange zest, orange juice, lemon zest, lemon juice, flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, baking powder,baking soda,salt,  squares unsweetened chocolate,, shortening,white sugar,eggs, water, buttermilk, maraschino cherries,drained and juice reserved,  square unsweetened chocolate,, butter,confectioners ' sugar, almond extract, maraschino cherry juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs,baking soda,water,seedless blackberry jam, allpurpose flour, ground cloves,ground nutmeg,ground cinnamon,salt,buttermilk,black walnuts  optional , golden raisins  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar, cocoa powder, hot water,vanilla extract, inch  unbaked pie crusts,allpurpose flour,baking powder,white sugar, butter, vanilla extract,eggs,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,vegetable oil,white sugar,ground cinnamon, salt,vanilla extract,allpurpose flour,baking soda,apples ,cored and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,vegetable oil,white sugar,allpurpose flour,baking soda,ground cinnamon,salt,vanilla extract,apples ,cored and, walnuts,  packages cream cheese,butter,softened, confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 vegetable oil,eggs,packed brown sugar,vanilla extract,baking soda,salt,allpurpose flour,walnuts,apples,packed brown sugar, butter, heavy whipping cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
apple ,cored,and,white sugar,egg,vanilla extract,allpurpose flour,baking soda, ground cinnamon, walnuts, raisins, brown sugar, white sugar,allpurpose flour,water, butter,vanilla extract, walnuts, raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package German chocolate cake mix,eggs,beaten, shortening,   container prepared coconut pecan frosting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evaporated milk,white sugar,egg yolk,beaten with water, margarine,vanilla extract,pecans,flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evaporated milk,brown sugar,egg yolks, butter,vanilla extract,pecans, flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour,white sugar, baking powder, baking soda, salt, butter,softened, buttermilk,vanilla extract,  squares German sweet chocolate,eggs, buttermilk, flaked coconut, packed brown sugar,cream, walnuts, butter,softened,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
brown sugar, milk,or more as needed, butter,flaked coconut,or more to taste, pecans,or more to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,  squares German chocolate, hot water,white sugar,shortening,egg yolks,buttermilk,vanilla extract, allpurpose flour,pinch salt,baking soda,egg whites,Coconut Pecan Frosting ,egg yolk, white sugar,flaked coconut, pecans,heavy whipping cream, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 water,  squares German sweet chocolate,butter,softened,white sugar,egg yolks,vanilla extract,buttermilk, cake flour,baking soda, salt,egg whites,white sugar,evaporated milk, butter,egg yolks,beaten, flaked coconut,pecans,vanilla extract, shortening,  square semisweet chocolate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,package Duncan Hines Moist Deluxe Swiss Chocolate Cake Mix,eggs, water, vegetable oil, pecans,Frosting , granulated sugar, evaporated milk,egg yolks, butter or margarine, flaked coconut,pecans, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,shortening,eggs,vanilla extract,butter flavored extract,buttermilk,sifted allpurpose flour, baking soda,salt,German sweet chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,vanilla extract, unsweetened cocoa powder, sifted allpurpose flour,baking powder, baking soda, salt, water, drained and sauerkraut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 water, butter,packed brown sugar,flaked coconut,miniature marshmallows,walnuts,  squares German sweet chocolate, water, allpurpose flour, white sugar,baking soda, salt,sour cream, butter,softened,vanilla extract,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, white sugar,eggs,rum  optional ,allpurpose flour,cornstarch, lemon juice,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter, white sugar,eggs,milk,almond extract, allpurpose flour,baking powder, salt, unsweetened cocoa powder,dark rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,white sugar, butter,softened,eggs,allpurpose flour,baking powder, plums,pitted and halved,Crumble Topping ,brown sugar,allpurpose flour, cold butter,into cubes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  squares German sweet chocolate, water,allpurpose flour,baking soda, salt,butter,softened,white sugar,egg yolks,vanilla extract,buttermilk,egg whites, fluid evaporated milk, white sugar, butter,egg yolks, vanilla extract,  package flaked coconut, pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  squares German sweet chocolate,, butter, white sugar,eggs,vanilla extract,buttermilk, sifted cake flour, baking powder,baking soda, salt,evaporated milk,white sugar,egg yolks,lightly beaten, butter,vanilla extract, flaked coconut,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour,butter,melted,water,unsweetened cocoa powder,baking soda, buttermilk,eggs,vanilla extract, butter,unsweetened cocoa powder,milk,   box confectioners ' sugar,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray, allpurpose flour,baking soda,butter,softened, brown sugar,   package instant vanilla pudding mix, white sugar,vanilla extract,eggs,   bag chocolate chips,walnuts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package devil 's food cake mix,   package instant chocolate pudding mix,eggs, water, vegetable oil, allpurpose flour,milk, shortening, butter,white sugar,vanilla extract,chocolate chips, shortening,light corn syrup, water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,butter,  package cream cheese,softened,eggs,allpurpose flour, baking soda, salt,vanilla extract, lemon extract, orange extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, baking soda,ground ginger,ground cinnamon,dash ground nutmeg,ground allspice,egg, warm water, white sugar, molasses, melted butter, confectioners ' sugar,sweetened whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, molasses, brown sugar, ground ginger, canned pear halves,drained, allpurpose flour,white sugar,baking powder, salt, milk, butter,softened,vanilla extract,egg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
amaranth flour,buckwheat flour, coconut flour, baking soda,ground cinnamon,ground ginger, ground cloves, ground nutmeg, salt,flax seed meal,water, agave nectar, canola oil, molasses,fresh ginger,lemon zest,or more to taste,boiling water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,ground ginger, baking soda,ground cinnamon, salt, Chinese fivespice powder, white sugar, dark molasses, vegetable oil,egg,beaten, boiling water,powdered sugar, lemon juice,lemon zest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,melted, dark corn syrup, brown sugar,   can pear halves,well drained, pecan halves,   package gingerbread cake mix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs, almond extract, vanilla extract, allpurpose flour,baking powder, salt, ground almonds,milk, milk, white sugar, almond extract, toasted almonds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,   package white cake mix,apple cider,eggs, butter,melted,  package instant vanilla pudding mix,,confectioners ' sugar, apple cider,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package lemon cake mix,  package lemon flavored JellO mix,lemon extract, apricot nectar,eggs, vegetable oil, lemon juice, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,melted, white sugar, pecans,   package yellow cake mix,   package instant French vanilla pudding, water, vegetable oil, rum,eggs, butter, white sugar, water, rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar, water,lemon extract,lemon zest,cake flour, cream of tartar, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white rice flour, brown rice flour, sorghum flour, potato starch,tapioca starch,sweet rice flour,rice starch,baking powder,white vanilla powder,superfine sugar,fine salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake , vanilla yogurt,white sugar,brown sugar,eggs,vanilla extract,glutenfree all purpose baking flour,ground flax seed,ground cinnamon,salt, ground cloves, ground nutmeg,apples,shredded,Caramel Sauce , butter, brown sugar,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 brown rice flour, almond flour, milk, carob powder, honey, vegetable oil,banana,mashed,eggs,beaten,vanilla extract,xanthan gum, baking powder, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
glutenfree allpurpose baking flour,baking powder,ground cinnamon, ground ginger, ground nutmeg, salt,pinch ground cloves, vegetable oil, applesauce, brown sugar, white sugar, orange juice,eggs, carrots, walnuts,seeded and jalapeno pepper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cashews,Crust , cashews,shredded coconut,agave syrup,Chocolate Cake ,cocoa powder,coconut oil,agave syrup,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sorghum flour, tapioca flour, rice flour,cocoa powder,sifted, xanthan gum, baking powder,baking soda, butter,  packed  dark brown sugar,white sugar,eggs,egg yolks,vanilla extract, buttermilk,chocolate chips, sour cream, vanilla extract,heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,glutenfree all purpose baking flour,white sugar, cocoa powder, baking powder, baking soda, xanthan gum, mayonnaise, hot water, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
glutenfree flour, white sugar,flaked coconut, walnuts,baking powder,baking soda,xanthan gum,salt,coconut milk,vegetable oil,eggs,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sorghum flour, almond flour, rice flour, tapioca flour,xanthan gum,ground cinnamon,baking soda, baking powder, salt, white sugar,vegetable oil,eggs,Golden Delicious apples ,cored,and, coarsely walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 water, quinoa, butter,melted and cooled, milk,eggs,vanilla extract, white sugar,unsweetened cocoa powder, baking powder, baking soda, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,separated, white sugar, rice flour,ground cinnamon, orange juice, finely ground almonds  almond meal ,heavy cream,white sugar,orange juice,orange zest, butter,egg whites,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,Cream Cheese Filling ,  package cream cheese,softened, white sugar,cornstarch,Cake Batter ,glutenfree flour,   can pumpkin puree, white sugar,eggs, milk, melted butter,baking powder,ground cinnamon, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
glutenfree all purpose baking flour  such as Bob 's Red Mill , cornstarch, unsweetened cocoa powder, glutenfree baking powder, butter,softened,avocado ,pitted,and pureed, applesauce,white sugar,white vinegar,buttermilk,vanilla extract,eggs,separated,cream of tartar,red food coloring,as desired  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,white sugar,stalks rhubarb,into inch pieces,glutenfree flour,baking soda, salt,yogurt, coconut oil,melted,egg,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white rice flour,white sugar, potato starch, tapioca starch,ground cinnamon, baking powder,baking soda,xanthan gum, salt, nutmeg,  can pineapple,drained and juice reserved,soy yogurt, shredded carrots, coarsely ground walnuts, unsweetened coconut flakes, unsweetened applesauce,vegetable oil,pure vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white rice flour, tapioca flour,salt,baking soda,baking powder,xanthan gum,eggs, white sugar, mayonnaise,milk,glutenfree vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda,unsweetened cocoa powder,salt, vegetable oil,distilled white vinegar,vanilla extract,water, butter,softened, shortening, milk,vanilla extract,white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,separated,sifted allpurpose flour,baking powder, milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, white sugar,egg yolks,vanilla extract, allpurpose flour,baking powder, salt, milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, white sugar,salt, active dry yeast,milk, margarine,eggs,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,vanilla extract,allpurpose flour,baking powder, salt,milk, salt,hot water,  jar marshmallow creme, vegetable shortening, confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
walnuts,   package yellow cake mix,   package instant vanilla pudding mix,eggs, water, vegetable oil, dark rum, butter, water,white sugar, dark rum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,milk,allpurpose flour,white sugar, salt, shortening, butter,softened,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,eggs,butter,confectioners ' sugar,cream cheese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,   package yellow cake mix,eggs,  package cream cheese, almond extract,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
